"id","nome_completo","sexo","nota","titulo","id-2","tarefa_id","tarefa_moodle_id","turma_id","curso_id","professor_id","aluno_id","nota-2","data_entrega","data_limite","data_insercao","texto_extraido","numero_tentativas","sobek_grafo","coh_adjective_ratio","coh_flesch","coh_brunet","coh_honore","coh_negative_words","coh_positive_words","coh_yngve","coh_frazier","coh_cross_entropy"
11,"Geb Gunnars",NULL,-1.0,"Invisibilidade e registro civil: garantia de acesso à cidadania no Brasil",11,198,1,1,1,1,1,-1.0,"2023-05-09 10:18:01.615769",NULL,NULL,"A Constituição Federal de 1998, norma de maior hierarquia do sistema jurídico brasileiro, assegura os direitos e o bem-estar da população. Entretanto, quando se observa a deficiência de visibilidade do registro civil como forma de garantir o acesso à cidadania no Brasil, verifica-se que esse preceito é constatado na teoria e não desejavelmente na prática. Dessa forma, essa realidade se deve à inoperância estatal e à alienação social.

Primeiramente, vale ressaltar que à débil ação do Poder Público, possui íntima relação com o revés. Acerca disso, Thomas Hobbes, em seu livro ""Leviatã"" defende a obrigação do Estado em proporcionar meios que auxiliem o progresso do corpo social. As autoridades, todavia, vão de encontro com a ideia de Hobbes, uma vez que possuem um papel inerte em relação a invisibilidade de pessoas sem o registro civil e, por consequência disso, dados de uma pesquisa estabelecida pelo IBGE, em 2015, estima-se que mais de 2 milhões de pessoas não possuem a certidão de nascimento, mostrando um alto teor de cidadãos em maioria pobres e negros, excluídos de existirem no corpo civil. Assim, parcela dessas vítimas vive à margem da sociedade, pois não existem políticas públicas eficazes como benefícios sociais. 

Ademais, uma grande parcela da população se mostra alienada. O intitulado ""Paradoxo da Moral"", é um livro escrito pelo musicólogo Vladimir Jankélévitch para exemplificar a cegueira ética do homem moderno, ou seja, a passividade das pessoas frente aos impasses enfrentados pelo próximo. De maneira análoga, percebe-se que a garantia de acesso à cidadania, encontra um forte alicerce na estagnação social. Essa situação ocorre porque, infelizmente, a sociedade não se movimenta em prol da erradicação dessa problemática, pelo contrário, ela adquire uma posição individualista por não mensurar como a falta de um registro civil causa como a impossibilidade de retirar outros documentos precisos. Logo, é essencial superar esses preceitos que atestam, sobretudo, um cenário intolerante. 

Fica evidente, portanto, a necessidade de garantir o acesso à cidadania para todos no Brasil. Destarte, o governo federal, responsável por administrar o povo e os interesses públicos, com o apoio do Ministério da Cidadania, a partir de medidas governamentais destinadas à pasta, deve disponibilizar benefícios financeiros sociais para cidadãos que não tenham como pagar a retirada de um registro civil. Essa ação será realizada com o intuito de custear a posse desse documento importante, para que também, a sociedade não naturalize a intolerância que a permeia. Dessa maneira, com a conjuntura de tais ações, os brasileiros verão o direito garantido pela Constituição, como uma realidade.",NULL,NULL,0.09135,16.91355,11.43137,1247.92094,0.31489,0.45532,3.29634,7.83333,0.51119
13,"Anuket Baldurs",NULL,-1.0,"Pai da pátria",13,116,1,1,1,1,101,-1.0,"2021-05-19 15:03:49.305054",NULL,NULL,"Eu vou às ruas para demonstrar minha contrariedade a tudo que está acontecendo"". A frase poderia ser de um contribuinte infeliz com os altos impostos, de um trabalhador em busca de seus direitos, de um ativista político de oposição, de um estudante ou de qualquer brasileiro que não concorde com a corrupção dos nossos governantes. E é. Quem prenuncia seu brado é Martha Medeiros, escritora, colunista do jornal Zero Hora, contribuinte, estudante... Uma brasileira infeliz com a realidade atual do País.

Ao ressaltar que irá à manifestação marcada para o dia 15 de março, um 'momento histórico', ela se mostra otimista: ""Finalmente podemos ter esperança de, em uma próxima geração, haver uma classe política mais antenada em relação à ética. Dessa lama toda que temos hoje, podemos ter uma nação um pouco mais embasada"".

Em Zero Hora de hoje (04), Martha escreve sob o título Autocrítica: A roubalheira, que sempre existiu, tomou conta da maior empresa estatal do país e o vexame ganhou proporções monumentais. Um quadro de tristeza, como ela define na sequência, mas celebrado por uma parcela da população: ""Estamos chocados,

 mas não podemos partir para o linchamento do partido. Eu vejo regozijo com o caos que está acontecendo"", afirmou na conversa com Potter, Kelly Matos e David Coimbra.",NULL,NULL,0.06161,35.80872,10.5601,1079.66669,0.376,0.384,3.00174,7.71429,1.13824
32,"Sicrano Kristjánsson","1",-1.0,"Manipulação do comportamento do usuário pelo controle de dados na internet",32,115,1,1,1,1,119,-1.0,"2019-12-03 14:38:26.46897",NULL,NULL,"A ""internet"" vem revolucionando cada vez mais o mundo, o seu uso é cada vez mais decorrente. Ela é muito utilizada como um meio tanto de comunicação quanto para informação, o único problema acerca disso, é que ela começou a manipular o que deve ou não ser mostrado aos usuários. Dessa forma, fica evidente que isso é um problema, já que tira a liberdade de escolha dos frequentadores do ""mundo"" virtual.

Cerca de 65% das pessoas com 10 anos ou mais utilizam a ""internet"", segundo uma pesquisa realizada pelo Instituto Brasileiro de Geografia e Estatística (IBGE). Destarte, há um número considerável de cidadãos que são, diariamente, influenciados pelas redes sociais a visualizarem só o que seria importante para eles. No entanto, nem sempre o que os usuários gostam é o melhor e, sendo assim, é preciso que haja mais transparência na ""internet"" para que as pessoas possam ter a capacidade de visualizar conteúdos diferentes e, por conseguinte, poderão ter opiniões e gostos diversos, sem interferência externa.

Contudo, a situação está longe de ser resolvida. Com o avanço da ciência e tecnologia, esse cérebro artificial tende a ficar cada vez mais aprimorado e perigoso, visto que os cidadãos vão, aos poucos, perdendo a capacidade de escolha. Isso é o que acontece em países dominados pela ditadura, como por exemplo, a Coréia do Norte, onde o governo controla todos os meios de comunicação, inclusive a ""internet"", e tornam as pessoas alienadas e distantes da realidade.

Medidas, portanto, são necessárias para resolver o impasse. Em um primeiro plano, as instituições de ensino, em parceria com as ONGs, podem ajudar nisso, promovendo palestras, discussões e até projetos, que visem alertar e impedir os alunos de serem manipulados na ""internet"". Outrossim, o Ministério da Educação deve incentivar, por meio de bolsas de estudos e prêmios, os estudantes de universidades a desenvolverem programas que impeçam a ""internet"" de influenciar secretamente nossas escolhas. Desse modo, os indivíduos terão autonomia nas suas decisões.",NULL,NULL,0.04321,24.29344,11.08652,1341.15957,0.28649,0.48108,3.24044,7.7,0.46978
102,"Maat Mikaelss","0",0,"21 lições para o século 21",102,118,1,1,1,1,494,0,"2021-02-28 20:57:16.163877",NULL,NULL,"Conforme consta em seu site ""1"", o Professor Yuval Noah Harari é um historiador, filósofo e autor best-seller de Sapiens : Uma breve História da Humanidade, Homo Deus: Uma breve História do Amanhã, 21 lições para o Século 21 e Sapiens: Uma Histórica Gráfica.

No livro 21 lições para o século 21, o autor procura abordar diversas questões atuais. Apoiado em embasamento científico o livro trata sobre assuntos como desilusão,trabalho,igualdade, inteligência artificial, guerras nucleares, Fake News, entre outros vários assuntos. Podemos afirmar que a principal ideia de Yuval Noah Harari ao escrever este livro, é trazer um novo olhar para assuntos bastante atuais e polêmicos. Como são vários assuntos, o autor não se aprofunda entre muitos tópicos abordados.

O público alvo são pessoas geralmente leigas,com pouco conhecimento sbore estes vários assuntos. O livro aposta na ideia de ser bastante polêmico, se destacando em opiniões e sendo assim causar impacto ao leitor.

Na primeira parte, o autor discorre sobre impasses relacionados a tecnologia. Na segunda parte são abordadas soluções. Na terceira parte, ao exemplificar sobre terrorismo, nos relembra nossos constantes medos na atualidade.Na quarta parte ocorre a discussão sobre a origem do homem sapiens e sua evolução, porém com uma transformação muito rápidapouco compreendida pelo próprio homem. Na quinta parte ,o autor procura verificar como acompanhar estas consequências.

Este livro foi baseado nos dois livros anteriores do mesmo autor, procurando compreender várias questões políticas,tcnológicas,sociais, salientando como a vida no cotidiano torna-se influenciada sobre estes vários apectos. O autor ,sob este este enfoque, enfatiza a necessidade de reafirmarmos a nossa escala de valores,dando real significado a nossa vida,cujo o mundo atual encontra-se perdido entre incertezas.

Este livro nos apresenta vários temas ,desde temas ditos científicos ,entre outros como Deus e seus enfoques. O autor procura trazer referências sobre estes vários temas. Entretanto, o leitor necessita ter espírito crítico, não apenas absorver o que é abordado pelo autor, procurando pesquisar e comparar opiniões.

O autor ressalta que no nosso cotidiano damos atenção a questões taxadas como mais importantes,como nosso trabalho ,capaz de nos fornecer nossa subsistência, ao cuidado dos filhos, ao cuidado dos idosos, enfim ao ao que nos parece mais importante na nossa vida diária. Todavia, o autor nos salienta que esta ausência em refletir sobre os 21 demais assuntos podem gerar consequências ao ser humano.

Entre os vários temas apresentados,temos o tema ""Trabalho"", onde o autor nos lembra que o homem sempre teve da automação industrial. Entretanto, Harari salienta que um 'algoritmo"" pode ser adaptado a necessidades humanas dando um posicionamento positivo a nossas vidas. 

Outro ponto interessante, entre muitos também , seria a comunidade e o facebook. O autor salienta nossa dependência e influência das redes sociais. Nossas relações sociais dependem de ""curtidas"" ou ""cancelamento"" no facebook, instragran, tiktok, ...As sensações do corpo estão perdendo terreno, o mais importante são as redes sociais. Nimguém vive mais sem um celular na mão o dia inteiro. As relações sociais e o ser humano estão atrelados a uma opinião formada através da internet, às vezes, de cunho não real.

De uma maneira geral, apesar de algumas críticas, já citadas acima, este livro amplia horizontes a qualquer leitor,onde quem o lê pode ressiginificar suas próprias ideias, caso o leitor tenha espírito crítico.

Para finalizar ,este livro relembra a importância da clareza sobre os assuntos citados. A clareza das informações é o contraponto da desinformação e da distração. Pude oservar que determinados assuntos se entrelaçam , em determinados momentos, mesmo tendo tópicos separados.",NULL,NULL,0.07812,17.64988,11.6622,1057.60765,0.25,0.42416,3.23194,7.8,0.56083
282,"Sobek Hannes","0",673.33333333333,"O atendimento das necessidades de consumo dos brasileiros",282,197,1,1,1,1,1053,673.33333333333,"2021-11-14 15:44:53.898099",NULL,NULL,"O cidadão brasileiro é um cidadão do mundo: atrás da tela. Seja através da tela do celular ou da televisão, o brasileiro está apto a consumir o que de mais moderno aparece. Pela janela emoldurada na parede de sua casa ou na palma de sua mão, ele descobre qual é o destino mais frequentado do momento ou qual é o último lançamento de um computador de marca. Através dela - da tela - ele descobre como satisfazer às suas necessidades. Ou seria o inverso? São as inovações que criam a sua necessidade? Quais são as suas reais necessidades?

A poderosa ferramenta do marketing constrói a propaganda em cima do lema no qual você deve consumir determinado produto, porque você merece. Automaticamente o cidadão reflete consigo mesmo. Ele pensa: ""se eu trabalho o dia inteiro, pego o ônibus lotado, mal e mal consigo aproveitar a minha família ou os meus filhos, sim, de fato, eu acho que mereço."" E assim a propaganda conclui a sua missão. Mais um consumidor conquistado, mais um mito estabelecido. O mito que diz que você merece. A inovação e a invenção, através do marketing, criou a mais nova necessidade do momento.

Entretanto, pergunta-se se essa necessidade realmente existe. Pensemos. Ocorre o último lançamento de uma série que se gosta muito. Só que ela só passa em uma plataforma digital. A pessoa não tem essa plataforma de vídeos. O que ela precisa fazer? Uma assinatura mensal por R$9,90 ou uma assinatura semestral por R$55,00. Repare que o consumidor entra em uma espiral de consumo. A assinatura semestral é mais barata, ela resolve a necessidade do momento e cria automaticamente uma tendência, pois muito provavelmente, até o fim do período da assinatura, uma nova série imperdível irá surgir. Todos vão comentar e nosso personagem não poderá ficar de fora do assunto do momento.

Como vimos na estorinha acima, o cidadão tinha uma necessidade. Casualmente havia uma forma para atendê-la. Demos graças! Sorte? Mas de onde mesmo surgiu essa vontade de ver a série? Abstraindo, podemos dizer que há uma sobreposição entre duas realidades. Uma realidade criada de fora para dentro (uma propaganda estimulando a pessoa a consumir algo) com uma realidade de dentro para fora (o surgimento da necessidade que precisa ser satisfeira por algum produto ou serviço).

É impossível saber quais são as necessidades de cada um. Podemos pensar desde o atendimento das necessidades fisiológicas como respirar, comer e dormir, às necessidades de autorrealização como a satisfação em comprar, consumir e em ter. Para além do senso comum que intuitivamente nos diz que é óbvio que se precisa de comida e roupas antes de pensar em comprar um tênis, por exemplo, cabe a reflexão se não seria mais interessante primeiramente ser. Ser mais filho, mais mãe ou pai, mais amigo, mais colega, enfim, mais humano. Necessário mesmo é ter cuidado ao enxergar o mundo pela telinha, pois provavelmente a estória e a ficção que a propaganda esta contando não necessariamente é o que o cidadão esta precisando ouvir.",NULL,NULL,0.05,48.88603,12.12954,883.29927,0.28214,0.45357,2.34969,7.07812,0.69395
455,"Geb Hannes","0",-1.0,"Talento",455,11,1,1,1,1,4124,-1.0,"2022-11-29 14:57:37.254032",NULL,NULL,"Desde as sociedades mais remotas, o homem busca conquistar o seu lugar no mundo. Historicamente, no período paleolítico, já observamos por meio das pinturas ruprestes as ilustrações artísticas nas carvernas mostrando o talento como descrição dessas conquistas da caça e do desbravamento do homem nessa civilização antiga. No período da grécia, Sócrates, narrado nas obras de Platão, especificamente nos textos da obra ""A república"", descreve (pelas palavras de Sócrates) um governo ideal, movido pelo descobrimento do talento individual de cada agente na pólis e, portanto, à aplicação da sua colocação no mundo perfeito por intermédio de seu serviço cívico. Na descrição platônica, isso seria influente para que o cidadão conquistasse seu lugar de modo satisfatório e virtuoso. Com as transformações mais modernas do pensamento sobre a existência do homem e seu relacionamento social, o ser humano, de acordo com o pensamento utilitarista de Stuart Mill, precisa vazar, por meio de dentro, um esforço que superabunde uma espécie de organização geral e doutrinária da essência humana ideal num mundo perfeito e organizado e, por intermédio de sua própria volição, executar o que deve ser necessário para sua própria felicidade e ganho no ambiente social. Tudo isso nos leva a questão de que, nas ideias sociais mais distantes dos pensamentos clássicos, sobretudo no período moderno e contemporâneo, onde as ideias prós e contras desses processos são o ""execesso de positividade"" como trabalhou o filósofo Byul Chul-Han, o cumprimento massivo e unilateral das metas de produção como refletiu Karl Marx, e a reprodução mecanicista das revoluções industriais no aquecimento em massa dos ideais capitalistas como nos apresenta à própria história, diante dos nossos olhos reside, portanto, à incapacidade da conquista do mundo apenas pelo talento seja ele natural ou desenvolvido pelo indivíduo. 

Além dos embasamentos sociais mais pessimistas, podemos notar um extenso alarde da própria realidade vigente no número de países menos desenvolvidos. É o caso das imigrações dos últimos anos de médicos indo ao cenário nacional brasileiro, desde 2014. Eles, por mais que tenham talento na área medicinal, e sejam reconhecidos pela sua formação no desenvolvimento do trabalho laboral de sua ciência, não encontram espaços de conquistas sociais. Haja a vista também, com a crise economica intensificada desde 2015, ainda no cenário brasileiro, o crescimento alarmante de outros profissionais excelentes em outras áreas como: educação e segurança, perdem o espaço e o reconhecimento monetário que sua capacidade profissional e talentosa mereciam.

É evidente, portanto, que, tanto no desenvolvimento social quanto nas produções teóricas da sociedade, não basta a habilidade pessoal, o autoconhecimento, nem ao mesmo os ideais milimétricos propostos pelo próprio indivíduo. A realidade nos mostra que a depender das situações econômicas, políticas e sociais, em cada sociedade atrapalha o percuso de cada indivíduo.",NULL,NULL,0.12639,0.31579,11.36937,1265.47346,0.24409,0.62992,3.61021,8.36364,0.48387
14,"Nuít Ingólfs","0",-1.0,"Invisibilidade e registro civil: garantia de acesso à cidadania no Brasil",14,198,1,1,1,1,892,-1.0,"2022-01-03 22:46:40.615079",NULL,NULL,"Não basta serem invisíveis e marginalizados pela sociedade, os mais pobres e vulneráveis não possuem vez nem mesmo perante o Estado, no Brasil. O mais importante documento no Brasil, passaporte para todos os direitos e deveres de um cidadão lhes é negado pela falta de instrução básica.

 O registro de nascimento, no Brasil, é gratuito desde a lei N°9534 de 1997, entretanto o número de pessoas sem o mesmo é persistente na sociedade brasileira. Infelizmente, o fato citado anteriormente corrobora o fato do problema não ser financeiro, sem falta de instruções básicas para as pessoas mais pobres e marginalizadas pelo Estado brasileiro. Quando são raras as campanhas publicitárias em torno do assunto, agregado ao baixo nível de escolaridade da maior parte da população, a falta de procura pelo registro de nascimento é ampliada.

 Ademais, o problema está internamente associado a precariedade no transporte e na falta de infraestrutura nas regiões mais isoladas do país, segundo o mapa de invisibilidade do Brasil, confeccionado a partir de dados do IBGE de 2015, nos mostra que, depois da região Sudeste(maior área urbana do país), a região Nordeste tem os maiores índices de pessoas sem registro. Somadas aos elevados números da região Norte do país, onde o transporte é ainda mais precário, o problema está intimamente associado a falta de infraestrutura e meios de transporte para a população das regiões mais isoladas do país. 

 Em conclusão os elevados índices de pessoas não registradas no Brasil não está relacionado a dificuldade em fazer o registro, mas sim a falta de acesso ao mesmo. Portanto, é dever do governo federal, por meios de campanhas de nível nacional, promover o acesso ao registro de nascimento a pessoas vulneráveis, a fim de garantir a cidadania a todos os brasileiros.",NULL,NULL,0.07877,28.74088,12.08159,755.0235,0.4023,0.25862,3.20934,8.38889,0.46696
18,"Set Eriks","0",-1.0,"Desafios para a formação educacional de surdos no Brasil",18,114,1,1,1,1,169,-1.0,"2019-10-30 22:40:40.208517",NULL,NULL,"Olá meu nome é Bruno, todos os dias caminho dois quilometros para ir e voltar da escola. Estudo sempre que posso e me dedico o máximo em sala de aula. Apesar disso as minhas notas são sempre baixas, isso porque não posso ouvir. Desde pequeno nunca pude escutar uma só palavra, como minha escola na tem profissionais treinados em liguagem de sinais só posso aprender com o que copio do quadro.

 O caso de Bruno é um bom exemplo de uma realidade lamentável a qual se dá no Brasil, onde os surdos além de ter de enfrentar todas as dificuldades já existentes para alunos normais no ensino brasileiro, como acesso precário a escola, falta de trasnporte público entre mutas outras coisas; também têm de lidar com mais uma limitação: A surdez.

 Os investimentos destinados para a educação em si já são limitados considerando a extensão territorial do país e sua população, e para o recursos investidos em acessibilidade a situação é ainda pior. A falta de recursos aliada a falta de cursos profissionalizantes com foco no ensino e acessibilidade para todos, tenha a pessoa surdez, deficiência mental ou qualquer outro tipo de limitação.

 Além de todos os problemas já citados, os surdos têm de lidar com outro problema: O preconceito. O bullying é considerado um grande problema para pessoas sem nenhum tipo de deficiência. Agora, para grupos já fragilizados por uma deficiência seja física ou mental isso pode atrapalhar ainda mais no processo de formação acadêmica, sem falar que pode levar a casos de isolamento e depressão.

 Logo, com base no que foi dito acima, faz-se nescessário: Ações do Ministéria da Educação em conjunto com a câmara de deputados afim de aprovar projetos de lei os quais disponibilizem mais verba para a melhoria das acessibilidades nas escolas brasileiras, como por exemplo contratando enterpretes da linguagem de sinais para traduzir a aula para alunos surdos. Também poderia ser feitas campanhas na mídia, promovidas por ONG's, com o intuito de concientizar a população sobre a importância de se respeitar os deficiêncientes físicos ou mentais. Por fim o MEC poderia promover mudanças nos planos de ensino das faculdades voltadas a educação, ou melhor ensino, incluindo cadeiras sobre ensino e acessibilidade.",NULL,NULL,0.0625,35.49997,11.48667,921.96566,0.42056,0.3785,2.94711,8.5,0.53048
19,"Rowan Jóhannesdóttir","2",940,"Invisibilidade e registro civil: garantia de acesso à cidadania no Brasil",19,198,1,1,1,1,862,940,"2021-12-29 19:46:11.606259",NULL,NULL,"No seriado norte-americano ""Ponto Cego"", a personagem principal Jane Doe é encontrada sem memória, e sem nenhum tipo de registro sobre quem ela é, ou seja, ela simplesmente não ""existe"", assim, segundo o próprio IBGE, acontece com aproximadamente 3 milhões de brasileiros, essas pessoas não possuem o registro civil,ou como conhecida a certidão de nascimento,sendo assim, invisíveis aos olhos da sociedade. Milhões de pessoas sem direitos básicos como ir a uma escola, ter acesso a saúde, de participar de programas sociais, vivendo as escuras, sem saber se um dia irão conseguir sua tão esperada certidão de nascimento.

 Se é sabido que o registro civil é um documento importante, não apenas por garantir a sua visibilidade perante o estado, mais também por que se é necessario do mesmo para a retirada de qualquer outro documento, no Brasil a lei criada em 1997, garantiu a gratuidade do registro de nascimento, porém, na maioria da vezes crianças sem documentos, veem de pais que também não tem registro e, grande parte, não tem ideia dos locais de onde foram registrados , gerando um ciclo vicioso, onde os mais afetados são pessoas em situações de pobreza.

 Além disso, a falta de vontade política,e a falta de informação, impossibilita e faz com que pessoas não saibam de seus direitos, fora isso , o Brasil tem 11 milhões de analfabetos, conforme o IBGE. tudo isso gera uma ignorância sobre a importância do registro civil, e faz com que brasileiros vivam a sua vida tendo seus direitos básicos negado, mesmo que as campanhas de mobilização nacional existam, elas ainda são insuficientes, pela barreira que existe entre a efetivação do direito e o acesso que pessoas de baixa renda terão.

 Uma solução para isso seria a criação de metas para os cartórios e orgãos públicos que pode ser colocada para sanar o problema e quando não atiginda, ambos os citados deveriam ser punidos. Cartórios também deveriam ser mais ágeis e disponíveis a população, a realização de multirões também pode ajudar e muito com que pessoas façam o registro. Muitos outros fatores envolvem a falta de registro, fatores que ter que ser resolvidos para que pessoas não percam seus direios e garatam uma vida visível perante a sociedade.",NULL,NULL,0.05676,22.63071,11.78742,870.57686,0.32701,0.45972,3.78041,8.625,0.47789
22,"Néftis Benedikts","0",880,"Perigos do universo digital",22,110,1,1,1,1,322,880,"2020-11-11 09:03:31.515992",NULL,NULL,"Os perigos no universo digital são claros. Uma organização hoje necessita de propaganda e publicidade para, assim, dependendo do objetivo, alcançar pessoas certas e melhorar o seu negócio. É evidente o progresso do mundo digitalizado desde os anos 90, a globalização nos tornou mais unidos nas redes sociais, entretanto, torna-nos suscetíveis a todo marketing que vemos e ouvimos, facilitando a manipulação na sociedade. 

Na década de 1990, passamos por diversas mudanças na sociedade, o final da Guerra Fria tornava o mundo promissor para os Estados Unidos que se tornava a maior potência mundial. Como resultado desse processo, muitas mudanças surgiram, como os novos telefones portáteis, vídeo-games, o ""Windows 95"" - grande marco para a sociedade da época -, entre outros. Todas as alterações ocorridas possuem dois lados, podendo influenciar de forma positiva ou negativa. 

As redes sociais que hoje tomam lugar como emprego para muitas pessoas, foram criadas nos anos 2000, tais como: ""Facebook"", ""Twitter"", ""Instagram"" e ""WhatsApp"". Além de nos manter atualizados digitalmente mais rápido, também transformou a sociedade preocupada com a aparência e maleáveis com situações que vemos na ""Internet"". As pessoas mudaram seus objetivos, é inegável. Só no Brasil, a cirurgia para o aumento dos seios passa de 2,5 milhões por ano, seguidos de lipoaspiração e a cirurgia para pálpebras (2016). As mulheres correspondem a 86,2% do percentual total de pessoas fazendo procedimentos estéticos. 

Se faz necessário agir com propostas de conscientização do público através da comunidade médica, assim, trazendo informações para pensarmos antes de se submeter a procedimentos estéticos. As redes sociais tem papel importante em relação as pessoas, logo, é sempre importante nas diretrizes da mídia haverem regras para tornar o convívio menos tóxico.",NULL,NULL,0.09643,31.18489,10.84086,1184.93968,0.18605,0.45349,3.0003,7.73077,0.5294
